CloudFraction,Latitude,Longitude,ScanTime
82.105415,-3.694392,-60.528839,1405021828
99.999992,-3.197520,-60.607697,1395689086
81.317986,-3.214524,-60.618023,1391631011
21.611887,-3.176116,-60.576042,1436816991
70.378662,-3.249010,-60.609558,1409169007
100.000015,-3.150801,-60.526390,1446149766
100.000000,-3.218716,-60.572365,1407353520
100.000000,-3.236928,-60.602055,1420788980
100.000008,-3.195966,-60.689034,1411628427
0.000000,0.000000,0.000000,0
79.697243,-3.229402,-60.646290,1389726422
83.772568,-3.217537,-60.547409,1427051184
42.439140,-3.241431,-60.665741,1417374402
8.093218,-2.100109,-60.457619,1407742186
100.000000,-3.231597,-60.654022,1415386884
48.837357,-3.203070,-60.591511,1403983533
100.000008,-3.235571,-60.604301,1427528963
75.520645,-3.207549,-60.553249,1415303823
100.000000,-3.195244,-60.601246,1389771105
100.000000,-3.128633,-60.656136,1396422012
64.010544,-3.202262,-60.600060,1421782718
99.999992,-3.235962,-60.680611,1427573285
99.999992,-3.152500,-60.685814,1431331964
