date	title	amount	datevalue
2015-10-17	Ke Supimpa	5.00	42294
2015-10-17	Moip Kickante	10.00	42294
2015-10-27	Ke Supimpa	7.50	42304
2015-10-27	Augusta Bar	10.00	42304
2015-10-27	Red	14.61	42304
2015-10-27	Elisabet Povoa Coelho	14.00	42304
2015-10-27	Pagseguro Ocasvendedor	5.00	42304
2015-10-27	Hering 1/3	33.98	42304
2015-10-27	Extra Jaguare	81.80	42304
2015-10-27	Big China Comercio de	64.55	42304
2015-10-27	Zensho do Brasil	22.50	42304
2015-10-27	Lab	30.00	42304
2015-10-27	Trescalini Pizzaria	36.00	42304
2015-10-27	Netoticas 1/6	79.87	42304
2015-10-27	Vitrine	58.32	42304
2015-10-27	Minimercado Lj	1.69	42304
2015-10-27	Ke Supimpa	7.50	42304
2015-10-30	F I Empanadas	10.00	42307
2015-10-30	Salpicante Restaurante	17.96	42307
2015-10-30	Rpf Lanches	20.75	42307
2015-10-30	Ingresso Rapido Bilhet	10.00	42307
2015-11-06	Fufu Lia Sao Paulo	12.50	42314
2015-11-06	Pichelluccio Sao Paulo	67.10	42314
2015-11-06	Silvio S Bispo Santos Sao Paulo	25.00	42314
2015-11-06	Ultrafarma Saude Sao Paulo 1/2	22.52	42314
2015-11-06	Kadson Souza Marques Sao Paulo	17.00	42314
2015-11-06	Chefrapid Sao Paulo	3.00	42314
2015-11-06	Lanchonete Bom Bom Ltd Sao Paulo	4.50	42314
2015-11-10	Filipe Oliveira Leite	14.50	42318
2015-11-10	Star	16.90	42318
2015-11-10	Ke Supimpa	7.00	42318
2015-11-10	Reinani Restaurante Ei	26.68	42318
2015-11-10	Ke Supimpa	5.00	42318
2015-11-10	Carrefour Ere	80.40	42318
2015-11-10	Carrefour Ere	56.49	42318
2015-11-10	Ecommerce Spotify	14.90	42318
2015-11-10	Recarga Tim Autom	50.00	42318
2015-11-10	Recarga Tim	30.00	42318
2015-11-16	Pagamento recebido	-1114.41	42324
2015-11-16	Mercadopago	31.00	42324
2015-11-16	Mercadopago Mlivre 1/2	10.75	42324
2015-11-16	Minimercado Lj	70.93	42324
2015-11-17	Mercadopago Mlivre 3/3	5.53	42325
2015-11-17	Eucatur 4/10	13.10	42325
2015-11-17	Mercadopago Mlivre 6/6	6.52	42325
2015-11-17	Cinemark Eldorado	34.00	42325
2015-11-17	Centauro Com 3/4	25.24	42325
2015-11-17	Ultrafarma Saude Sao Paulo 2/2	22.51	42325
2015-11-17	Kaiowa Ldk 3/3	57.21	42325
2015-11-17	Mlivre 3/6	6.86	42325
2015-11-17	Netoticas 2/6	79.84	42325
2015-11-17	Mlivre 3/6	6.15	42325
2015-11-17	Kaiowa Ldk 3/3	56.87	42325
2015-11-17	Hering 2/3	33.96	42325
2015-11-19	Perf Seiki	36.30	42327
2015-11-24	Kfc	24.90	42332
2015-11-24	Habib S	30.75	42332
2015-11-24	Habib S	24.10	42332
2015-11-24	Star	16.90	42332
2015-11-27	Lanchonete da Fisica	3.50	42335
2015-12-01	Ifood Com Jundiai	39.50	42339
2015-12-01	Minimercado Lj 5195 Sao Paulo	24.57	42339
2015-12-01	Nutricap Com Prod Alim Sao Paulo	3.50	42339
2015-12-02	Fenix Com Estudantil	20.00	42340
2015-12-03	Mercadopago*Mlivr 1/6	5.89	42341
2015-12-04	Lanchonete da Fisica	3.50	42342
2015-12-08	Minimercado Lj	57.03	42346
2015-12-08	Ifood Com	36.00	42346
2015-12-08	Starbucks 008 Eldorado	16.90	42346
2015-12-08	Carrefour Ere	3.89	42346
2015-12-08	Lanchonete da Fisica	3.50	42346
2015-12-08	Cinemark Eldorado	38.00	42346
2015-12-08	Lirio de Prata	23.70	42346
2015-12-10	Recarga Tim	30.00	42348
2015-12-10	Lanchonete da Fisica	7.50	42348
2015-12-10	Ebanx Spotify	14.90	42348
2015-12-11	Mercadopago 1/10	6.29	42349
2015-12-11	Mercadopago 1/10	6.28	42349
2015-12-14	Eldorado Mate	10.40	42352
2015-12-14	Wilson Lanchonete e Su	7.00	42352
2015-12-14	Kfc	63.90	42352
2015-12-15	Fufu Lia	8.50	42353
2015-12-15	Pagamento recebido	-1147.37	42353
2015-12-15	Ifood Com	36.00	42353
2015-12-16	Centauro Com 4/4	25.24	42354
2015-12-16	Eucatur 5/10	13.10	42354
2015-12-16	Mlivre 4/6	6.15	42354
2015-12-16	Mercadopago*Mlivr 2/6	5.86	42354
2015-12-16	Mercadopago Mlivre 2/2	10.75	42354
2015-12-16	Hering 3/3	33.96	42354
2015-12-16	Mlivre 4/6	6.86	42354
2015-12-16	Netoticas 3/6	79.84	42354
2015-12-18	Merc Silva e Barbosa	40.58	42356
2015-12-22	Mania Mais	7.00	42360
2015-12-22	Viacao Ouro Branco 1/3	85.00	42360
2015-12-22	Bukz	5.00	42360
2015-12-22	Minimercado Lj	20.01	42360
2015-12-22	Rod Music	10.00	42360
2015-12-23	M Z Gritti Sorvetes	8.50	42361
2015-12-23	Paloma Rest Lanchon	24.01	42361
