data,nome,tipo,valor
2015-04-28,Marinalva (2dias),Diaristas,-150.0
2015-04-28,Conta de Luz,Conta de Luz,-100.92
2015-04-28,Cordas violão,Compras,-67.64
2015-04-28,Papelaria FAU,Compras,-26.0
2015-04-28,Vendas,Vendas,175.0
2015-04-28,Moletom,Vendas,100.0
2015-04-28,Moletom,Vendas,100.0
2015-04-29,Caneca,Vendas,5.0
2015-04-29,Moletom,Vendas,100.0
2015-04-30,Juros maquina Cartão (Valdir),Compras,-3.0
2015-04-30,Marinalva (1 dia + VT),Diaristas,-85.0
2015-04-30,Aluguel microfone,Vendas,20.0
2015-04-30,Moletom (cartão),Vendas,100.0
2015-04-30,Caneca,Vendas,5.0
2015-04-30,Moletom (cartão),Vendas,100.0
2015-05-04,Emprestimo,Funcionário-Marivalda,-1000.0
2015-05-04,Salário,Funcionário-Marivalda,-904.07
2015-05-04,Xerox,Aluguel,1448.0
2015-05-04,DARF,JB Contabilidade,-10.26
2015-05-04,GPS,JB Contabilidade,-367.37
2015-05-04,JB Contabilidade,JB Contabilidade,-394.0
2015-05-04,Material Limpeza,Material de Limpeza,-361.7
2015-05-04,Marinalva (VT),Diaristas,-20.0
2015-05-04,FGTS,JB Contabilidade,-82.09
2015-05-05,Repasse (6 meses + semestral) Rest.,Repasse Cherateria,-400.0
2015-05-05,Moletom,Vendas,100.0
2015-05-05,Marinalva (2dias),Diaristas,-150.0
2015-05-05,Moletom,Vendas,100.0
2015-05-05,2 Moletons,Vendas,200.0
2015-05-05,Moletom,Vendas,100.0
2015-05-05,Repasse (6 meses + semestral),Repasse Cherateria,-1500.0
2015-05-06,Fita durex (Valdir),Compras,-4.0
2015-05-06,Camiseta,Vendas,20.0
2015-05-06,Juros maquina Cartão (Valdir),Compras,-3.0
2015-05-07,Marinalva (1 dia + VT),Diaristas,-85.0
2015-05-07,Kalunga,Compras,-30.23
2015-05-08,Moletom,Vendas,100.0
2015-05-08,Moletom,Vendas,100.0
2015-05-08,Moletom,Vendas,100.0
2015-05-08,Moletom,Vendas,100.0
2015-05-08,Kalunga,Compras,-25.2
2015-05-08,Moletom,Vendas,100.0
2015-05-11,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-05-12,Livraria,Aluguel,1100.0
2015-05-12,Camiseta,Vendas,20.0
2015-05-12,Moletom,Vendas,100.0
2015-05-13,Moletom,Vendas,100.0
2015-05-13,Lanchonete,Aluguel,7500.0
2015-05-14,Moletom,Vendas,100.0
2015-05-14,Caneca,Vendas,5.0
2015-05-14,Camiseta,Vendas,20.0
2015-05-14,3 Chaveiros + sacola,Vendas,22.0
2015-05-14,Moletom,Vendas,100.0
2015-05-14,Moletom,Vendas,100.0
2015-05-14,Moletom,Vendas,100.0
2015-05-14,Camiseta,Vendas,20.0
2015-05-15,Moletom,Vendas,100.0
2015-05-15,Marinalva (1 dia + VT),Diaristas,-85.0
2015-05-15,Camiseta,Vendas,20.0
2015-05-18,Moletom,Vendas,100.0
2015-05-18,2 Camisetas + 2 canecas (cartão),Vendas,50.0
2015-05-18,Marinalva (VT),Diaristas,-20.0
2015-05-19,Marinalva (2dias),Diaristas,-150.0
2015-05-19,Juros maquina Cartão (Valdir),Compras,-21.66
2015-05-19,4 Moletons,Vendas,400.0
2015-05-19,2 Camisetas,Vendas,40.0
2015-05-19,Moletom,Vendas,100.0
2015-05-20,Cordas violão,Compras,-78.0
2015-05-21,Vale,Funcionário-Marivalda,-500.0
2015-05-21,Moletom,Vendas,100.0
2015-05-21,Caneca,Vendas,5.0
2015-05-21,Moletom (cartão),Vendas,100.0
2015-05-21,Moletom,Vendas,100.0
2015-05-21,Conta de Luz,Conta de Luz,-391.56
2015-05-22,Erica (2 dias + VT),Diaristas,-165.0
2015-05-22,Moletom (cartão),Vendas,100.0
2015-05-22,Moletom + camiseta (cartão),Vendas,120.0
2015-05-22,Moletom (cartão),Vendas,100.0
2015-05-22,Moletom + 4 canecas + 2 chaveiros( cartão),Vendas,130.0
2015-05-22,Moletom + 3 camisetas ( cartão),Vendas,160.0
2015-05-22,Moletom (cartão),Vendas,100.0
2015-05-22,Moletom (cartão),Vendas,100.0
2015-05-22,Moletom,Vendas,100.0
2015-05-22,Juros maquina Cartão (Valdir),Compras,-74.0
2015-05-25,Moletom,Vendas,100.0
2015-05-25,Kalunga,Compras,-41.49
2015-05-26,Material Limpeza,Material de Limpeza,-399.2
2015-05-26,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-05-28,Moletom (cartão),Vendas,100.0
2015-05-28,Pgto Carimbo (Cefisma),Compras,-92.0
2015-05-28,Camiseta,Vendas,20.0
2015-05-28,Moletom (cartão),Vendas,100.0
2015-06-02,Cadeado,Compras,-20.9
2015-06-02,Pgto 2º Parcela Moletons,Compras,-1000.0
2015-06-02,Camiseta (cartão),Vendas,20.0
2015-06-02,Deposito conta do cefisma,Vendas,650.0
2015-06-03,Salário,Funcionário-Marivalda,-1047.43
2015-06-03,JB Contabilidade,JB Contabilidade,-394.0
2015-06-03,Moletom (cartão),Vendas,100.0
2015-06-03,DARF,JB Contabilidade,-11.11
2015-06-03,GPS,JB Contabilidade,-397.85
2015-06-03,FGTS,JB Contabilidade,-88.9
2015-06-08,Material Limpeza,Material de Limpeza,-435.6
2015-06-11,Lanchonete,Aluguel,7500.0
2015-06-11,Livraria,Aluguel,1100.0
2015-06-11,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-06-11,Camiseta + caneca + chaveiro (cartão),Vendas,30.0
2015-06-11,Moletom (cartão),Vendas,100.0
2015-06-12,Xerox,Aluguel,1448.0
2015-06-12,Limpeza vidros (Janelas e Potas),Outras despesas,-50.0
