,word,word_count
2928,oficina,5
3640,pucsp,5
428,quantum,5
426,mundo,5
1087,confirmadas,5
475,nossas,5
3013,alunes,5
3638,confiram,5
1243,debater,5
2798,post,5
484,mesmos,5
1268,homenageia,5
161,docs,5
2734,garotas,5
1081,seguinte,5
1293,grande,5
3059,resposta,5
315,principalmente,5
2942,ocupantes,5
1042,começar,5
592,necessidade,5
1177,muita,5
1190,consulta,5
583,fechadas,5
582,portas,5
1198,comparecer,5
3881,jovens,5
2269,total,5
3492,trabalhar,5
2387,sintusp,5
3433,nuclear,5
404,públicas,4
1576,debates,4
3092,organização,4
3028,antigos,4
1248,fica,4
821,auxílio,4
3451,publicou,4
3447,participou,4
1807,paulista,4
403,universidades,4
1782,estadual,4
1515,retirar,4
3441,família,4
1596,cargos,4
3443,incentivaram,4
3444,graduar,4
816,afinal,4
196,decidido,4
3456,cnpq,4
3470,cambridge,4
2244,deste,4
226,aviso,4
3462,10157,4
2961,direta,4
150,metrô,4
2964,adalberto,4
1843,mensagem,4
2987,maio,4
803,tenho,4
941,tanto,4
237,condições,4
421,canal,4
3461,56_instance_a6mo,4
3460,journal_content,4
3015,puderam,4
1505,colocar,4
3459,pioneiras,4
3458,guest,4
834,fiquem,4
3018,inscrever,4
3601,questões,4
1747,recursos,4
3111,apuração,4
1614,bacharelado,4
1716,promover,4
1711,cooperação,4
1114,tcham,4
3245,maiores,4
4544,discutido,4
1680,técnicas,4
3393,decidimos,4
3376,oficinas,4
3273,assédio,4
1645,horas,4
3301,burocracia,4
1668,postaremos,4
3362,assistência,4
317,grupos,4
1130,científica,4
1125,teatro,4
904,dado,4
309,fundamental,4
3313,periferia,4
280,cartazes,4
343,novos,4
793,posição,4
3155,especial,4
1109,atrações,4
1128,externa,4
954,descaso,4
1740,educacional,4
1739,desenvolvimento,4
1738,resultados,4
3431,nucleares,4
1538,eram,4
852,organizando,4
1185,órgão,4
3164,gasto,4
1626,construir,4
3179,inicialmente,4
857,pouco,4
3430,emulsões,4
3180,introdução,4
863,ficar,4
3529,tapa,4
78,profissional,4
1095,edusp,4
2932,feiras,4
2427,sociais,4
693,ressaltar,4
3805,novembro,4
695,fechamento,4
696,prefeitura,4
129,exposições,4
1466,falamos,4
700,absurdo,4
105,brasileiras,4
2455,trabalhos,4
2456,perspectivas,4
2046,seguir,4
2457,aprendizagem,4
2500,acadêmicos,4
1475,própria,4
2506,movimentos,4
791,sabe,4
2032,moral,4
2512,politica,4
1353,vezes,4
2017,sentido,4
2006,tinha,4
2518,completa,4
1348,alguma,4
134,produção,4
3751,nunca,4
2080,relato,4
1462,assistente,4
1992,repressão,4
2425,reflexões,4
2258,alexandre,4
645,institutos,4
3941,palquinhos,4
626,serem,4
2279,domingo,4
1416,população,4
2198,guerra,4
2301,disposição,4
1436,sabemos,4
112,neste,4
2331,venha,4
3861,emygdio,4
2355,ameaça,4
2368,entender,4
1391,nesta,4
670,utilização,4
591,engenharia,4
1445,informamos,4
2146,mostra,4
126,qualidade,4
2140,meses,4
2416,puder,4
4037,mãos,4
3846,posse,4
687,conforme,4
1993,policial,4
2033,fumaça,4
729,pais,4
1911,aceitar,4
1086,editoras,4
1327,ambiental,4
1875,doar,4
2793,devolução,4
1950,disponível,4
1002,convite,4
1936,renda,4
1292,cidade,4
1266,organizadora,4
2653,ponto,4
2655,piada,4
1907,existe,4
489,acervo,4
1902,conseguir,4
491,infraestrutura,4
2742,preconceito,4
778,organizadas,4
2831,poucas,4
2907,pequena,4
2613,últimos,4
2563,cherateria,4
2878,libertação,4
788,tema,4
1495,demanda,4
2594,nogueira,4
1987,ocorreu,4
1849,calouros,4
465,exemplo,4
1090,letras,4
1981,governo,4
2608,alunxs,4
1331,fato,4
1979,conjunto,4
1279,faleceu,3
1437,dará,3
1189,realizará,3
1386,redação,3
1571,democracia,3
1439,16h30,3
1428,pedidos,3
1164,brincadeira,3
1510,sugerimos,3
1390,apresentou,3
1493,suficiente,3
1170,crise,3
1438,alunas,3
4394,tomar,3
1195,hora,3
1404,html,3
1267,espetáculo,3
1511,fossem,3
1385,concluir,3
1254,racial,3
1523,verdade,3
1341,curricular,3
1228,região,3
1537,queria,3
1360,responsabilidade,3
4408,transparência,3
4502,temporários,3
1553,democrático,3
1536,impressões,3
1477,aprovado,3
1530,provavelmente,3
4398,golpe,3
1556,amamos,3
4427,verba,3
1528,tornar,3
1232,visa,3
1199,possamos,3
1561,acontece,3
1219,consciência,3
1471,tenha,3
1325,diciplina,3
4575,sorteado,3
1214,colegiados,3
4390,__mref,3
1520,seriam,3
1297,blocos,3
1213,representação,3
1567,compor,3
4453,menor,3
4391,message_bubble,3
1514,antigas,3
1418,enviar,3
2078,edifícios,3
1583,possuem,3
2891,direção,3
2699,homem,3
2730,afirmando,3
2751,explicar,3
2755,classe,3
2782,pedido,3
2840,simplesmente,3
2841,resistência,3
2871,estaremos,3
2876,punição,3
2896,realizou,3
2403,pagar,3
2905,aceitou,3
2930,word,3
2945,semanas,3
2965,fazzio,3
2992,envolver,3
3039,autorização,3
3045,tais,3
3057,costa,3
3065,acontecer,3
2698,quatro,3
2695,teria,3
2692,previamente,3
2644,preciso,3
2409,ficará,3
2413,passarão,3
2439,lutas,3
2440,recentemente,3
2442,interesse,3
3803,revirada,3
2463,criminalizar,3
2480,estes,3
3755,resistindo,3
2517,soma,3
2520,restante,3
2555,fazia,3
2557,direitos,3
3742,falando,3
2631,reclamações,3
2632,postagem,3
2634,tinder,3
3735,conseguimos,3
3708,ocupar,3
3066,definir,3
3075,diante,3
3615,tarde,3
3356,circulares,3
3360,cortadas,3
3373,continuar,3
3387,schenberg,3
3502,hamburger,3
3396,seguindo,3
3501,império,3
3500,amélia,3
3399,físicas,3
3400,descrição,3
3402,condição,3
3403,decidida,3
3424,interessante,3
3494,vestibular,3
3434,biologia,3
3440,carreira,3
3491,teve,3
3490,laboratório,3
3489,manutenção,3
3464,1923,3
3359,ônibus,3
3348,combate,3
3117,vontade,3
3316,2011,3
3118,email,3
3554,fuvest,3
3532,maxwell,3
3531,demônios,3
3137,agradeço,3
3143,contribuir,3
3171,dêem,3
3213,científicas,3
3231,desmonte,3
3259,aquelas,3
3262,auto,3
3267,visibilidade,3
3272,chega,3
3286,estupradores,3
3515,professora,3
3507,mestrado,3
3304,nada,3
3305,prestar,3
3309,abandonar,3
2406,dinheiro,3
2395,interessados,3
1586,dever,3
1791,assembléia,3
4282,uspinova,3
1736,orientações,3
1737,materiais,3
1749,diretamente,3
1751,construção,3
1756,didático,3
1759,ideias,3
1764,docente,3
1766,profis,3
1802,colaboração,3
3848,reorganização,3
4252,moradia,3
1820,arrombamento,3
1822,arrombados,3
1837,começou,3
1842,mande,3
4242,agressores,3
1848,calouras,3
1852,organizaram,3
1853,novamente,3
1722,universitários,3
4283,reviravolta,3
1718,aperfeiçoamento,3
4286,levante,3
1591,completo,3
1597,discente,3
1598,eleger,3
4373,candidatas,3
1616,vídeo,3
4324,alugueis,3
1624,pertinentes,3
1628,mostrar,3
1633,voltar,3
1638,somos,3
4309,aluguel,3
4306,islã,3
1652,terá,3
1664,lembrem,3
4305,logo,3
4299,isis,3
1678,usada,3
1681,fazem,3
4287,lute,3
1856,dúvida,3
1861,dúvidas,3
1883,haveria,3
2186,combater,3
2206,secundas,3
2208,lutar,3
2211,juventude,3
2214,parar,3
2215,mexeu,3
3882,rede,3
2234,médico,3
2237,estará,3
2274,bairro,3
3875,crafts,3
2292,iluminação,3
2297,escolher,3
2306,open,3
2327,contato,3
2329,fico,3
2336,entidade,3
2354,discutimos,3
2374,assunto,3
2378,sofrendo,3
2187,atuação,3
4005,força,3
1886,noturno,3
2149,truculenta,3
4123,conosco,3
1946,real,3
4096,quântica,3
1958,gmail,3
1968,ajudem,3
1991,ocorrido,3
1995,saísse,3
2030,bombas,3
2038,tentaram,3
2041,evitar,3
4095,teoria,3
2069,causa,3
2071,deles,3
4065,ribeiro,3
2108,ninguém,3
2112,canto,3
2144,abuso,3
2147,completamente,3
4033,prática,3
2356,aluguéis,3
2422,bourdieu,3
530,funcionárias,3
68,educativas,3
1075,1604646559789648,3
851,gostaríamos,3
482,menores,3
166,viewform,3
121,realidade,3
411,juntamente,3
848,encontrar,3
847,difícil,3
274,apesar,3
407,especificamente,3
843,precisando,3
400,ocorrerão,3
565,fique,3
563,faremos,3
714,trabalhadores,3
1017,filme,3
278,repúdio,3
281,madrugada,3
282,sábado,3
125,importância,3
495,editora,3
1015,receber,3
497,didáticos,3
732,terem,3
740,explicando,3
559,algo,3
742,petição,3
688,deliberado,3
929,colégios,3
20,decisões,3
443,deverá,3
635,ideia,3
638,discussões,3
1060,imagem,3
111,educador,3
198,piquete,3
890,ingresso,3
1049,software,3
654,principais,3
218,contando,3
655,posicionamentos,3
657,compartilhar,3
613,lugares,3
916,necessárias,3
864,banco,3
1069,especialmente,3
660,esclarecer,3
919,acreditamos,3
114,oportunidade,3
169,orgulho,3
921,haver,3
602,vidros,3
470,querem,3
232,estarem,3
581,somente,3
579,conversas,3
869,ficarão,3
30,tentativa,3
566,olho,3
74,panorama,3
69,ampliação,3
1149,chamar,3
782,estou,3
323,lhes,3
1144,continuem,3
130,contará,3
774,funcionamento,3
751,fechar,3
509,maria,3
814,pensar,3
983,sejam,3
355,incentivo,3
1134,comunicação,3
340,desses,3
307,ação,3
517,gerais,3
71,públicos,3
312,expressão,3
313,posicionamento,3
524,necessidades,3
320,lutando,3
366,bandejões,3
371,1417212935256157,3
324,diariamente,3
360,contratação,3
746,chegou,3
797,psicologia,3
1121,extra,3
302,imagens,3
2375,decidir,2
2566,seletiva,2
2385,reintegração,2
2262,secrett,2
2369,barrar,2
2261,relações,2
2379,ataques,2
3914,visintin,2
2384,contratações,2
2397,moletons,2
2386,sede,2
2394,convidem,2
2399,preencher,2
2564,campeã,2
4012,aceita,2
2402,entregues,2
2589,turno,2
589,enviará,2
2591,irregularidades,2
3928,recepção,2
3984,sucateamento,2
2587,possa,2
2583,método,2
2578,scale,2
2296,locação,2
3982,necessários,2
2309,bebidas,2
2291,estrutura,2
2322,contratos,2
2326,meus,2
616,silêncio,2
2284,utilizando,2
3993,limite,2
3893,distantes,2
3779,estas,2
2335,whatsapp,2
2347,atenciosamente,2
3781,cartas,2
2278,eventos,2
3995,salário,2
609,silenciosos,2
3786,entrega,2
2360,autonomia,2
2567,balatucada,2
554,reivindicações,2
2421,pierre,2
538,atrás,2
3790,galáxias,2
3859,butantã,2
2538,comprar,2
562,ocorrendo,2
3856,cara,2
2532,definido,2
2465,ditadura,2
2466,passada,2
2470,santos,2
3851,sofrimento,2
2529,confirmado,2
2477,receberam,2
2527,funcionário,2
3843,medicina,2
2524,1678924955669076,2
2487,alta,2
3842,15h30,2
2523,sindicais,2
2490,impedindo,2
2497,eleitos,2
2522,movimentações,2
2513,rodas,2
2514,novidade,2
2521,consequente,2
2519,disparidade,2
2515,afeta,2
2540,máquina,2
128,visitar,2
4013,exige,2
3872,higiene,2
2516,branco,2
3883,ingressar,2
115,analisar,2
3792,grandes,2
119,recentes,2
577,regras,2
576,avisos,2
539,demandas,2
575,renovar,2
3797,chagas,2
3873,limpeza,2
2437,políticas,2
2547,agressão,2
574,reforçar,2
3869,vigília,2
570,lembrar,2
3868,tiver,2
2446,jornada,2
2447,reunir,2
3864,diretora,2
2550,arredores,2
2451,aproximação,2
3863,ocupada,2
3862,barros,2
2253,rolando,2
1155,colem,2
4020,fomentar,2
1980,haddad,2
2000,lados,2
728,mães,2
4189,tiveram,2
731,trabalham,2
1988,cidades,2
1985,passagem,2
1974,praça,2
2242,oliveira,2
95,culturais,2
1965,abertas,2
4202,edital,2
4206,bicicletas,2
1956,procurem,2
1954,reuniões,2
723,ameaçadas,2
722,sabendo,2
720,juntos,2
4179,antecedem,2
2011,início,2
2014,impedido,2
2019,tinham,2
717,ocorre,2
4162,identidade,2
715,restaurante,2
4159,contamos,2
4156,farmacêuticas,2
2040,calma,2
4153,bioquímica,2
2042,machucasse,2
4152,farmácia,2
2044,escapar,2
1953,adicionais,2
1952,atualizado,2
1947,encontra,2
1898,aprovação,2
4284,morte,2
798,fizeram,2
787,incluir,2
1851,veteranas,2
4275,leme,2
783,participando,2
4274,vannucchi,2
1857,matérias,2
1871,críticas,2
1876,usar,2
88,significativa,2
1890,absolutamente,2
1891,condução,2
761,professoras,2
1905,crusp,2
1945,chance,2
755,cujo,2
1913,quaisquer,2
1918,inbox,2
1920,voluntários,2
1924,dele,2
4224,pena,2
1927,independente,2
1932,apoios,2
1934,aumentar,2
1937,superior,2
1938,mantendo,2
1939,crítica,2
1942,modelo,2
4213,ciclistas,2
2047,consolação,2
2050,fechou,2
2052,impedir,2
4054,conseguiu,2
2153,governos,2
2154,mostram,2
4077,jorge,2
2160,aparato,2
2161,intimidar,2
2164,baixo,2
2166,protagonizou,2
662,fatos,2
106,quais,2
2175,pobre,2
2176,majoritariamente,2
2593,escolhido,2
4060,sugeridos,2
2182,municipal,2
4053,melhores,2
673,matriculado,2
2190,fotos,2
2193,silva,2
653,rolar,2
2201,covardemente,2
2202,ruas,2
2205,fascista,2
2209,resistem,2
2213,recuar,2
643,propor,2
641,dificuldades,2
333,opressora,2
639,nesses,2
2225,abraão,2
2239,gerson,2
666,aberto,2
675,consideradas,2
2053,saíssem,2
689,ficou,2
2057,balas,2
2058,borracha,2
2062,vinham,2
2063,trás,2
2064,viram,2
2065,literalmente,2
4136,desenvolver,2
698,proximidade,2
691,divulgar,2
4124,makers,2
2090,tiro,2
2098,ouvir,2
2101,estilhaços,2
2107,querer,2
2109,costas,2
676,individuais,2
2113,naquela,2
4098,almoço,2
2120,borrachada,2
2121,relatos,2
2123,disseram,2
102,conhecemos,2
679,compartilhe,2
2134,agressões,2
2136,físico,2
678,renovada,2
2141,acabou,2
2142,perdendo,2
677,podendo,2
2145,episódio,2
2178,17h00,2
508,thandryus,2
3769,olhada,2
252,causados,2
3438,época,2
3439,considerada,2
3030,relatório,2
257,tomando,2
3442,apoiaram,2
255,financeiros,2
3445,1942,2
3437,ginásio,2
3022,adiada,2
3021,atuais,2
3446,ufrj,2
3448,desinteresse,2
3017,dupla,2
3016,inscreveu,2
3033,seguranças,2
3436,elementares,2
3014,divulgaremos,2
405,privadas,2
391,irmos,2
399,informes,2
3062,matéria,2
3418,seguem,2
