0,1,2,3
38,440697006094380_444354269061987,2015-03-15T11:23:38+0000,"Parabéns pela iniciatiava, se precisar  de algo conte com a gente, Editora Livraria da Física LF Editorial",
39,440697006094380_443473822483365,2015-03-13T18:34:22+0000,"Gente bonita,

Uma das estudantes da Física está precisando de doação de medula óssea. O problema é que é muito difícil encontrar alguém compatível. Dessa forma, gostaríamos de ajudar, e estamos organizando uma campanha de doação.

O processo é simples. No hospital, eles tirarão um pouco do seu sangue e fazer os testes para ver o seu tipo de medula, que então vai ficar no banco de dados. Caso seja compatível, você será chamado; caso contrário, seus dados ficarão lá e você eventualmente vai poder ajudar outra pessoa.

Por favor, pessoal, quem estiver interessado por favor nos avise, para podermos organizar como vai ser. E espalhem a idéia para mais pessoas.

Beijo de luz.",
40,440697006094380_443455709151843,2015-03-13T17:41:38+0000,"https://www.facebook.com/events/356969394494100/

ASSEMBLEIA DE ESTUDANTES DA FÍSICA
Compareçam!",
41,440697006094380_443427852487962,2015-03-13T17:02:43+0000,"Solidariedade com os amigos do IME, a proibição de festas e ameaças do diretor são fatos bastante preocupantes!",
42,440697006094380_441940565970024,2015-03-11T11:31:52+0000,"CONGREGAÇÃO ABERTA PARA DISCUTIR FORMAS DE INGRESSO NA USP

Com base na roda de discussão sobre a congregação, confira a fala elaborada pelo o CEFISMA:

""Nós do Cefisma, em nome dos alunos da física, gostaríamos de agradecer à Congregação pelo espaço cedido garantindo o mínimo de participação dos estudantes. Mínimo porque, dado o horário, muitos alunos que gostariam de estar entre nós estão em aulas, incapazes de adiar seus compromissos.

Em uma reunião de alunos organizada por nós com o intuito de discutir as formas de ingresso na universidade, algumas medidas de acesso à USP foram acordadas como necessárias para uma universidade mais democrática.

Entre elas, acreditamos que deva haver a reserva de vagas para alunos de escolas públicas, por o número de ingressantes oriundos de escolas privadas ainda é notavelmente maior que a quantidade de alunos vindos de colégios públicos, expondo a ineficácia do sistema de pontuação acrescida atualmente em vigor (INCLUSP).

Também concluímos que são necessárias reservas de vagas, tanto na graduação como na pós, para negros, índios e transsexuais, sendo este último grupo jamais contemplado em nenhuma política de inclusão da USP, expondo o descaso da instituição com o mesmo.

Acerca da logística da prova, é necessária a ampliação dos possíveis locais de aplicação da mesma, dada a escassa distribuição destes pelo Brasil. Uma solução eficaz para esse problema seria utilizar tão somente o ENEM como forma de acesso à USP, prova esta que já é aplicada em todo o país. Caso a prova não fosse adotada integralmente, a adesão parcial do exame já é significativa como um caminho mais acessível ao ingresso e evita que estudantes sejam erroneamente julgados por um desempenho atipicamente ruim durante um único dia de prova.""

 Lembrando que independentemente da sua posição estar contemplada nessa fala, é importante todos que puderem ir, vão, pra colaborar mais com a discussão",
43,440697006094380_440703636093717,2015-03-09T20:59:20+0000,"Querida Raissa, seu convite é uma honra para mim. Beijos.",
44,440697006094380_440702336093847,2015-03-09T20:52:44+0000,"Olá pessoal, esta é a nova página do CEFISMA, será por aqui em ampliaremos os canais de diálogo com os estudantes. Por isso curta a página, receba notificações e fique por dentro dos acontecimentos em nosso instituto e na USP!",
45,440697006094380_440701716093909,2015-03-09T20:50:40+0000,,Cefisma IFUSP updated their cover photo.
46,440697006094380_440698696094211,2015-03-09T20:31:24+0000,,Cefisma IFUSP updated their profile picture.
47,440697006094380_523232334507513,2015-10-06T22:06:47+0000,"Acabamos de receber a confirmação de qual será o filme exibido amanhã pelo Cine Clube da Física!!!
O filme será ""1984"", baseado no livro de mesmo nome de George Orwell.

A exibição será no Auditório Sul (IFUSP), amanhã (07/10, quarta-feira) às 20h!

Bônus: vai ter pipoca de graça :3",
